pos_weight,lr,weight_decay,val_pr_auc,val_roc_auc,test_roc_auc,test_pr_auc,test_f1,best_epoch
9.0,0.001,0.001,0.7555,0.9255,0.9415,0.7967,0.7193,30
9.0,0.001,0.0001,0.7413,0.9215,0.9378,0.7812,0.717,10
9.0,0.0003,0.0001,0.7362,0.9217,0.9347,0.7758,0.717,30
9.0,0.0003,0.001,0.7362,0.9217,0.9347,0.7758,0.717,30
3.0,0.001,0.0001,0.7299,0.9164,0.9339,0.7811,0.7379,10
3.0,0.001,0.001,0.7296,0.9164,0.9338,0.7809,0.7379,10
3.0,0.0003,0.0001,0.7275,0.921,0.9348,0.7832,0.7379,43
3.0,0.0003,0.001,0.7265,0.918,0.9308,0.7764,0.6842,30
1.0,0.001,0.001,0.7259,0.9108,0.9268,0.7829,0.7143,30
1.0,0.0003,0.001,0.7046,0.9121,0.9231,0.7645,0.6931,43
1.0,0.0003,0.0001,0.7044,0.9118,0.9235,0.7658,0.6931,43
1.0,0.001,0.0001,0.7036,0.9047,0.9206,0.7613,0.6939,10
